,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,ACN Number:,FRA Reporting Month:,Reports
438,1569902,9429035112938,15 Dec 2004,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1569902,1569902,,"6 Penguin Drive, Murrays Bay, Auckland, 0630
, New Zealand","6 Penguin Drive, Murrays Bay, Auckland, 0630
, New Zealand",,,,,,,,,,,,
439,1716971,9429034466902,15 Nov 2005,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1716971,1716971,,"40 Geddis Avenue, Maraenui, Napier, 4110
, New Zealand","40 Geddis Avenue, Maraenui, Napier, 4110
, New Zealand",,,,,,,,,,,,
440,313519,9429039707253,15 Sep 1986,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco313519,313519,,"29 Barnes Road, Christchurch
, New Zealand","29 Barnes Road, Christchurch
, New Zealand",,,,,,,,,,,,
441,1949141,9429033355320,15 Jun 2007,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1949141,1949141,,"18 Wheturangi Road, Greenlane, Auckland, 1051
, New Zealand","18 Wheturangi Road, Greenlane, Auckland, 1051
, New Zealand",,,,,,,,,,,,
442,983520,9429037463502,02 Nov 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco983520,983520,,"1st Floor, 61-63 O'shannessey Street, Papakura
, New Zealand","1st Floor, 61-63 O'shannessey Street, Papakura
, New Zealand",,,,,,,,,,,,
443,2184989,9429032506143,29 Oct 2008,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2184989,2184989,,"15 Sidey Street, Caversham, Dunedin
, New Zealand","15 Sidey Street, Caversham, Dunedin
, New Zealand",,,,,,,,,,,,
444,3071948,9429031410717,23 Aug 2010,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3071948,3071948,,"12 Queen Street, Auckland Central, Auckland, 1010
, New Zealand","12 Queen Street, Auckland Central, Auckland, 1010
, New Zealand",,,,,,,,,,,,
445,970555,9429037526665,21 Jul 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco970555,970555,,"19 Oregon Place, Garden Heights, Hamilton
, New Zealand","19 Oregon Place, Garden Heights, Hamilton
, New Zealand",,,,,,,,,,,,
446,32911,9429040822440,29 Oct 1976,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco32911,32911,,"45 Buick St, Petone
, New Zealand",,,,,,,,,,,,,
447,150733,9429040289236,13 Nov 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco150733,150733,,"Turpin Clarke & Craw, 109 Princes St, Dunedin
, New Zealand",,,,,,,,,,,,,
448,1845506,9429033971902,21 Jul 2006,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1845506,1845506,,"Smart Business Centre Tauranga Limited, 20 Park Street, Tauranga, 3110
, New Zealand","Smart Business Centre Tauranga Limited, 20 Park Street, Tauranga, 3110
, New Zealand",,,,,,,,,,,,
449,542633,9429039002365,24 Mar 1992,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco542633,542633,,"C/- Official Assignee, Second Floor, Asb Building, 500 Victoria Street, Hamilton
, New Zealand","24 Whitney Street, Blockhouse Bay, Auckland
, New Zealand",,,,,,,,,,,,
450,52711,9429040714769,13 Jul 1955,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco52711,52711,,"C/o W L Barnes, 49 Beechdale Cres, Pakuranga, Auckland
, New Zealand",,,,,,,,,,,,,
451,1221601,9429036432653,10 Jul 2002,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1221601,1221601,,"Arawata Chartered Accountants, 2000 Omihi Road, Rd 3, Greta Valley, 7483
, New Zealand","Arawata Chartered Accountants, 2000 Omihi Road, Rd 3, Greta Valley, 7483
, New Zealand",,,,,,,,,,,,
452,1549820,9429035211099,26 Aug 2004,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1549820,1549820,,"23a Yellowstone Crescent, Burwood, Christchurch, 8083
, New Zealand","23a Yellowstone Crescent, Burwood, Christchurch, 8083
, New Zealand",,,,,,,,,,,,
453,1592412,9429035003502,18 Jan 2005,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1592412,1592412,,"890/b Eastcoast Rd, Browns Bay, Auckland, 0633
, New Zealand","890/b Eastcoast Rd, Browns Bay, Auckland, 0633
, New Zealand",,,,,,,,,,,,
454,1143810,9429036871193,12 Jun 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1143810,1143810,,"C/- Markhams Clarke Craw Limited, 2 Clark Street, Dunedin, 9016
, New Zealand","C/- Markhams Clarke Craw Limited, 2 Clark Street, Dunedin, 9016
, New Zealand",,,,,,,,,,,,
455,5431201,9429041378649,22 Aug 2014,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5431201,5431201,,"Unit 3, 245 St Asaph Street, Christchurch Central, Christchurch, 8011
, New Zealand","Unit 3, 245 St Asaph Street, Christchurch Central, Christchurch, 8011
, New Zealand",,,,,,,,,,,,
456,102131,9429040426365,02 Dec 1977,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco102131,102131,,"19 Rosewarne Cres, Glendene, Auckland
, New Zealand",,,,,,,,,,,,,
457,146098,9429040312675,09 Mar 1961,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco146098,146098,,"C/o Deloitte Haskins & Sells, 481 Moray Place, Dunedin
, New Zealand","-
, New Zealand",,,,,,,,,,,,
458,200276,9429040028309,06 Oct 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco200276,200276,,"222 Seaforth Rd, Island View, Waihi Beach
, New Zealand",,,,,,,,,,,,,
459,34839,9429040810256,15 Sep 1978,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco34839,34839,,"16 Willoughby Street, Lower Hutt
, New Zealand","16 Willoughby Street, Lower Hutt
, New Zealand",,,,,,,,,,,,
460,169792,9429040178301,12 Nov 1931,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco169792,169792,,"C/- Offical Assignee, Second Floor, A S B Building, 500 Victoria Street, Hamilton
, New Zealand","C/- Official Assignee, Second Floor, A S B Building, 500 Victoria Street, Hamilton
, New Zealand",,,,,,,,,,,,
461,7840876,9429047818415,26 Nov 2019,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7840876,7840876,,"4 Woodford Road, Mount Eden, Auckland, 1024
, New Zealand","4 Woodford Road, Mount Eden, Auckland, 1024
, New Zealand",,,,,,,,,,,,
462,2295087,9429032070293,03 Aug 2009,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2295087,2295087,,"The Accounting Store Limited, 104 Horomatangi Street, Taupo, Taupo, 3330
, New Zealand","The Accounting Store Limited, 104 Horomatangi Street, Taupo, Taupo, 3330
, New Zealand",,,,,,,,,,,,
463,8438985,9429050736386,29 Jul 2022,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8438985,8438985,,"150 Rimu Road, Paraparaumu, Paraparaumu, 5032
, New Zealand","150 Rimu Road, Paraparaumu, Paraparaumu, 5032
, New Zealand",,,,,,,,,,,,
464,973893,9429037511289,24 Aug 1999,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco973893,973893,,"Laurie Jordan Fca Limited, Corner Broadway & Regan Streets, Stratford, 4332
, New Zealand","Laurie Jordan Fca Limited, Corner Broadway & Regan Streets, Stratford, 4332
, New Zealand",,,,,,,,,,,,
465,804071,9429038342226,22 Apr 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco804071,804071,,"29 Benson Road, Remuera
, New Zealand","29 Benson Road, Remuera, Auckland
, New Zealand",,,,,,,,,,,,
466,1918917,9429033545318,12 Mar 2007,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1918917,1918917,,"173 Rathgar Road, Henderson, Auckland, 0610
, New Zealand","173 Rathgar Road, Henderson, Auckland, 0610
, New Zealand",,,,,,,,,,,,
467,920667,9429037785161,07 Aug 1998,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco920667,920667,,"C/-strawbridge Consulting, Level 6, Quinovic House, 32-34 Kent Terrace, Wellington
, New Zealand","C/-strawbridge Consulting, Level 6, Quinovic House, 32-34 Kent Terrace, Wellington
, New Zealand",,,,,,,,,,,,
468,6951955,9429046933294,02 Aug 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6951955,6951955,,"STEVE GIBSON CHARTERED ACCOUNTANTS LTD, 8 Teasdale Street, Te Awamutu, Te Awamutu, 3800
, New Zealand","STEVE GIBSON CHARTERED ACCOUNTANTS LTD, 8 Teasdale Street, Te Awamutu, Te Awamutu, 3800
, New Zealand",,,,,,,,,,,,
469,1248267,9429036279845,17 Oct 2002,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1248267,1248267,,"41 Moana Road, Okitu, Gisborne, 4010
, New Zealand","41 Moana Road, Okitu, Gisborne, 4010
, New Zealand",,,,,,,,,,,,
470,3363312,9429031128063,19 Apr 2011,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3363312,3363312,,"J 153 Limted, 52 East Coast Road, Milford, North Shore City, 0620
, New Zealand","J 153 Limted, 52 East Coast Road, Milford, North Shore City, 0620
, New Zealand",,,,,,,,,,,,
471,6137832,9429043386079,20 Oct 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6137832,6137832,,"5 Landsdowne Terrace, Cashmere, Christchurch, 8022
, New Zealand","5 Landsdowne Terrace, Cashmere, Christchurch, 8022
, New Zealand",,,,,,,,,,,,
472,1372899,9429035830443,25 Aug 2003,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1372899,1372899,,"148 Pacific Parade, Army Bay, Whangaparaoa, 0930
, New Zealand","148 Pacific Parade, Army Bay, Whangaparaoa, 0930
, New Zealand",,,,,,,,,,,,
473,1386499,9429035796091,10 Sep 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1386499,1386499,,"14 Princess Street, Putaruru
, New Zealand","Level 1, 61-63 St Lukes Road, St Lukes, Auckland
, New Zealand",,,,,,,,,,,,
474,5765492,9429041881163,03 Aug 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5765492,5765492,,"15, Kohinoor Avenue Mangere, Auckland Manukau, 2022
, New Zealand","15, Kohinoor Avenue Mangere, Auckland Manukau, 2022
, New Zealand",,,,,,,,,,,,
475,1136786,9429036910663,21 May 2001,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1136786,1136786,,"55 Dunbarton St., Christchurch
, New Zealand","55 Dunbarton St., Christchurch
, New Zealand",,,,,,,,,,,,
476,1139766,9429036893003,13 Jun 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1139766,1139766,,"c/- Campbell Tyson Ltd, 17 Hall Street, Pukekohe, Auckland, 2120
, New Zealand","17 Hall Street, Pukekohe, Auckland, 2120
, New Zealand",,,,,,,,,,,,
477,133061,9429031881944,10 Aug 1971,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco133061,133061,,"24 Felstead Place, Christchurch
, New Zealand","24 Felstead Place, Christchurch
, New Zealand",,,,,,,,,,,,
478,4946159,9429041091937,17 Feb 2014,Removed,NZ Limited Company,Yes,No,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco4946159,4946159,,"Brophy Knight Limited, 144 Tancred Street, Ashburton, 7700
, New Zealand","Brophy Knight Limited, 144 Tancred Street, Ashburton, 7700
, New Zealand",,,,,,,,,,,,
479,873514,9429038009174,01 Sep 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco873514,873514,,"8 Tane Street, New Lynn, Auckland
, New Zealand","8 Tane Street, New Lynn, Auckland
, New Zealand",,,,,,,,,,,,
480,6187158,9429045860355,05 Dec 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6187158,6187158,,"Farm Accountant Ltd, 579 Highcliff Rd, R.d. 2, Dunedin, 9077
, New Zealand","Farm Accountant Ltd, 579 Highcliff Rd, R.d. 2, Dunedin, 9077
, New Zealand",,,,,,,,,,,,
481,713524,9429038368448,23 Feb 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco713524,713524,,"6th Floor, 3 Kingston Street, Auckland
, New Zealand","4/20 Constellation Drive, Mairangi Bay, Auckland
, New Zealand",,,,,,,,,,,,
482,166945,9429040195650,17 Aug 1954,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco166945,166945,,"172 Thorp Street, Motueka
, New Zealand","Mcfadden Mcmeeken Phillips, 1st Floor, 14 New Street, Nelson
, New Zealand",,,,,,,,,,,,
483,1911558,9429033590622,19 Feb 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1911558,1911558,,"B63-10 Ebor Street, Wellington
, New Zealand","B63-10 Ebor Street, Wellington
, New Zealand",,,,,,,,,,,,
484,23882,9429040879857,16 Jul 1970,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco23882,23882,,"85 Ghuznee St, Wellington
, New Zealand",,,,,,,,,,,,,
485,2260925,9429032202670,08 Jul 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2260925,2260925,,"35b Sunderlands Road, Half Moon Bay, Auckland
, New Zealand","35b Sunderlands Road, Half Moon Bay, Auckland
, New Zealand",,,,,,,,,,,,
486,2369612,9429031745581,03 Dec 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2369612,2369612,,"35 Brentford Place, Manurewa, Manukau 2102
, New Zealand","35 Brentford Place, Manurewa, Manukau 2102
, New Zealand",,,,,,,,,,,,
487,3356030,9429031136426,14 Apr 2011,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3356030,3356030,,"148b Main Street, Oxford, Oxford, 7430
, New Zealand","CANTERBURY TAXATION SERVICE LTD, 148b Main Street, Oxford, Oxford, 7430
, New Zealand",,,,,,,,,,,,
488,1280038,9429036104642,03 Mar 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1280038,1280038,,"12 Gregory St, Nae Nae, Lower Hutt
, New Zealand","12 Gregory St, Nae Nae, Lower Hutt
, New Zealand",,,,,,,,,,,,
489,93281,9429040497266,13 Dec 1974,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco93281,93281,,"9 Trig Hill Rd, Onetangi, Waiheke Island, Auckland
, New Zealand",,,,,,,,,,,,,
490,1637367,9429034751961,30 May 2005,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1637367,1637367,,"25 Carousel Cres, Dannemora, Auckland
, New Zealand","25 Carousel Cres, Dannemora, Auckland
, New Zealand",,,,,,,,,,,,
491,59202,9429040690490,24 Feb 1960,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco59202,59202,,"70 Paritai Drive, Orakei, Auckland
, New Zealand",,,,,,,,,,,,,
492,6276508,9429046106407,02 May 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6276508,6276508,,"Beanies Accounting Services Limited, Office 14 Spencer House Mall, 31 Dunmore Street, Wanaka, 9305
, New Zealand","Beanies Accounting Services Limited, Office 14 Spencer House Mall, 31 Dunmore Street, Wanaka, 9305
, New Zealand",,,,,,,,,,,,
493,3077805,9429031405515,26 Aug 2010,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3077805,3077805,,"CooperAitken Limited, 42 Moorhouse Street, Morrinsville, 3300
, New Zealand","COOPER AITKEN & PARTNERS LIMITED, 42 Moorhouse Street, Morrinsville, 3300
, New Zealand",,,,,,,,,,,,
494,6415552,9429046327970,30 Aug 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6415552,6415552,,"218 Tokerau Beach Road, Rd3, Kaitaia, 0483
, New Zealand","218 Tokerau Beach Road, Rd3, Kaitaia, 0483
, New Zealand",,,,,,,,,,,,
495,5748370,9429041855386,15 Jul 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5748370,5748370,,"346 Rosetta Road, Raumati Beach, Wellington, 5032
, New Zealand","346 Rosetta Road, Raumati Beach, Wellington, 5032
, New Zealand",,,,,,,,,,,,
496,5464506,9429041417546,18 Sep 2014,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5464506,5464506,,"20 Harrys Way, Redwood, Christchurch, 8051
, New Zealand","20 Harrys Way, Redwood, Christchurch, 8051
, New Zealand",,,,,,,,,,,,
497,3497231,9429030997820,03 Aug 2011,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3497231,3497231,,"37 Miriama Street, Taumarunui, Taumarunui, 3920
, New Zealand","37 Miriama Street, Taumarunui, Taumarunui, 3920
, New Zealand",,,,,,,,,,,,
498,1149572,9429036841813,11 Jul 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1149572,1149572,,"Ferguson & Associates, Regent Court Building, Unit 7 /75 Gloucester Str, Christchurch
, New Zealand","Ferguson & Associates, Regent Court, Bldg, Unit 7 / 75 Gloucester Str, Chrsitchurch
, New Zealand",,,,,,,,,,,,
499,1484539,9429035531371,18 Feb 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1484539,1484539,,"98 Exmouth Rd, Northcote, Auckland
, New Zealand","98 Exmouth Rd, Northcote, Auckland
, New Zealand",,,,,,,,,,,,
500,72007,9429040632322,20 Dec 1966,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco72007,72007,,"Lay Dodd & Partners, Prudential Bldg, 9 Manakau Rd, Auckland 3
, New Zealand",,,,,,,,,,,,,
501,3722736,9429030796607,13 Feb 2012,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3722736,3722736,,"76 Mungavin Avenue, Porirua East, Porirua, 5024
, New Zealand","76 Mungavin Avenue, Porirua East, Porirua, 5024
, New Zealand",,,,,,,,,,,,
502,43575,9429040746524,31 Oct 1983,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco43575,43575,,"Davy Bldg, 81 Wakefield St, Auckland C1
, New Zealand",,,,,,,,,,,,,
503,5169541,9429041209417,28 Apr 2014,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5169541,5169541,,"Suite 506, 350 Queen Street, Auckland Cbd, Auckland, 1010
, New Zealand","Suite 506, 350 Queen Street, Auckland Cbd, Auckland, 1010
, New Zealand",,,,,,,,,,,,
504,1646713,9429034707067,14 Jun 2005,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1646713,1646713,,"KGA Warkworth Limited, 54 Whitaker Road, Warkworth, 0910
, New Zealand","KGA Warkworth Limited, 54 Whitaker Road, Warkworth, 0910
, New Zealand",,,,,,,,,,,,
505,1834585,9429034021484,26 Jun 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1834585,1834585,,"10 Kepler Place, Clover Park, Manukau
, New Zealand","10 Kepler Place, Clover Park, Manukau
, New Zealand",,,,,,,,,,,,
506,6489094,9429046401595,10 Oct 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6489094,6489094,,"Chetanpreet Singh, 34 Gloucester Street, Wilton, Wellington, 6012
, New Zealand","Chetanpreet Singh, 34 Gloucester Street, Wilton, Wellington, 6012
, New Zealand",,,,,,,,,,,,
507,878515,9429037985301,14 Oct 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco878515,878515,,"C/- Jones Young, Solicitors, Level 6, Kpmg Centre, 9 Princes Street, Auckland
, New Zealand","C/- Jones Young, Solicitors, Level 6, Kpmg Centre, 9 Princes Street, Auckland
, New Zealand",,,,,,,,,,,,
508,180541,9429040138350,29 Jul 1957,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco180541,180541,,"220 Studholme St, Morrinsville
, New Zealand",,,,,,,,,,,,,
509,6634334,9429046537119,09 Jan 2018,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6634334,6634334,,"21 Alma Street, Te Atatu South, Auckland, 0610
, New Zealand","21 Alma Street, Te Atatu South, Auckland, 0610
, New Zealand",,,,,,,,,,,,
510,75781,9429040613284,19 Dec 1968,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco75781,75781,,"17 Hall St, Pukekohe
, New Zealand",,,,,,,,,,,,,
511,7651096,9429047609723,06 Aug 2019,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7651096,7651096,,"Junaid Adams, 3b Ranui Station Road, Ranui, Auckland, 0612
, New Zealand","Junaid Adams, 3b Ranui Station Road, Ranui, Auckland, 0612
, New Zealand",,,,,,,,,,,,
512,1537476,9429035271857,17 Aug 2004,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1537476,1537476,,"Johnston Associates, 202 Ponsonby Road, Ponsonby, Auckland, 1011
, New Zealand","Johnston Associates, 202 Ponsonby Road, Ponsonby, Auckland, 1011
, New Zealand",,,,,,,,,,,,
513,6103909,9429042562856,16 Sep 2016,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6103909,6103909,,"Keith Gayford, 1075, Huia, Auckland, 0604
, New Zealand","Keith Gayford, 1075, Huia, Auckland, 0604
, New Zealand",,,,,,,,,,,,
514,8487170,9429050870431,12 Oct 2022,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8487170,8487170,,"27 Brompton Place, Burswood, Auckland, 2013
, New Zealand","27 Brompton Place, Burswood, Auckland, 2013
, New Zealand",,,,,,,,,,,,
515,5898015,9429042212430,04 Mar 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5898015,5898015,,"150 Oriental Parade, Papamoa Beach, Papamoa, 3118
, New Zealand","150 Oriental Parade, Papamoa Beach, Papamoa, 3118
, New Zealand",,,,,,,,,,,,
516,6794493,9429046702098,05 Apr 2018,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6794493,6794493,,"Peter and Suzanne Casey, 18 Wrack Road, Rd 5, Whareora, 0175
, New Zealand","Peter and Suzanne Casey, 18 Wrack Road, Rd 5, Whareora, 0175
, New Zealand",,,,,,,,,,,,
517,39916,9429040761428,13 Dec 1982,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco39916,39916,,"Basil Jones & Stephens, 2 Princess St, Upper Hutt
, New Zealand",,,,,,,,,,,,,
518,115757,9429032061604,04 Nov 1982,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco115757,115757,,"Campbell Tyson & Co, 17 Hall St, P O Box 324, Pukekohe
, New Zealand","Campbell Tyson & Co, 17 Hall St, P O Box 324, Pukekohe
, New Zealand",,,,,,,,,,,,
519,844030,9429038153853,25 Feb 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco844030,844030,,"Level One, 611 Great South Road, Manukau
, New Zealand","Level One, 611 Great South Road, Manukau
, New Zealand",,,,,,,,,,,,
520,197968,9429040048536,23 Nov 1978,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco197968,197968,,"Official Assignee, 16-20 Clarence St, Hamilton
, New Zealand",,,,,,,,,,,,,
521,103069,9429040415567,23 May 1978,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco103069,103069,,"2 Weldene Avenue, Glenfield
, New Zealand",,,,,,,,,,,,,
522,2284639,9429032131642,15 Jul 2009,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2284639,2284639,,"225 Chartwell Ave, Whangamata
, New Zealand","225 Chartwell Ave, Whangamata
, New Zealand",,,,,,,,,,,,
523,8131298,9429048704540,08 Oct 2020,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8131298,8131298,,"4 Packard Crescent, Halswell, Christchurch, 8025
, New Zealand","4 Packard Crescent, Halswell, Christchurch, 8025
, New Zealand",,,,,,,,,,,,
524,699307,9429038406782,19 Oct 1995,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco699307,699307,,"2/30 Rata Street, New Lynn, Auckland, 0600
, New Zealand","2/30 Rata Street, New Lynn, Auckland, 0600
, New Zealand",,,,,,,,,,,,
525,152535,9429040278629,13 May 1975,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco152535,152535,,"C/-official Assignee, Cnr Gloucester St & Oxford Tce, Christchurch
, New Zealand",,,,,,,,,,,,,
526,6186304,9429045857690,05 Dec 2016,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6186304,6186304,,"G03, 6-10 The Strand, Takapuna, Auckland, 0622
, New Zealand","G03, 6-10 The Strand, Takapuna, Auckland, 0622
, New Zealand",,,,,,,,,,,,
