,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,FRA Reporting Month:,Reports,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,ACN Number:
526,195416,9429040068763,24 Jul 1975,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco195416,195416,,"C/o Peat Marwick Mitchell & Co, 10th Floor National Mutual Cntr, Box 1584, Auckland
, New Zealand",,,,,,,,,,,,,
527,6163007,9429043425488,17 Nov 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6163007,6163007,,"BALANCE CHARTERED ACCOUNTANTS LIMITED, 16 Bell Street, Wanganui, Wanganui, 4500
, New Zealand","BALANCE CHARTERED ACCOUNTANTS LIMITED, 16 Bell Street, Wanganui, Wanganui, 4500
, New Zealand",,,,,,,,,,,,
528,130962,9429031905428,06 Feb 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco130962,130962,,"Peat Marwick, Floor 15 Clarendon Tower, 78 Worcester Street, Christchurch
, New Zealand",,,,,,,,,,,,,
529,163080,9429040222677,17 Dec 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco163080,163080,,"B J Martin, 120 Karamu Rd N, Box 941, Hastings
, New Zealand",,,,,,,,,,,,,
530,3704035,9429030827165,13 Jan 2012,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3704035,3704035,,"TFS CHARTERED ACCOUNTANTS LIMITED, 214 Main Road, Tawa, Wellington, 5028
, New Zealand","TFS CHARTERED ACCOUNTANTS LIMITED, 214 Main Road, Tawa, Wellington, 5028
, New Zealand",,,,,,,,,,,,
531,1028561,9429037292287,17 Apr 2000,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1028561,1028561,,"4 Tomo Street, Glen Eden, Auckland
, New Zealand","4 Tomo Street, Glen Eden, Auckland
, New Zealand",,,,,,,,,,,,
532,105298,9429040396613,30 Mar 1979,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco105298,105298,,"4 Arapuni Ave, Onehunga, Auckland
, New Zealand",,,,,,,,,,,,,
533,1488579,9429035508151,15 Mar 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1488579,1488579,,"130a Old Wairoa Road, Papakura 2110, Auckland, 2110
, New Zealand","130a Old Wairoa Road, Papakura 2110, Auckland, 2110
, New Zealand",,,,,,,,,,,,
534,185973,9429040124476,02 Aug 1963,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco185973,185973,,"C/- Official Assignee, Second Floor, Asb Building, 500 Victoria Street, Hamilton
, New Zealand","C/- Official Assignee, Second Floor, A S B Building, 500 Victoria Street, Hamilton
, New Zealand",,,,,,,,,,,,
535,2135392,9429032726770,20 Jun 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2135392,2135392,,"C/-strawbridge & Associates, 14 Gloucester Street, Nelson
, New Zealand","C/-strawbridge & Associates, 14 Gloucester Street, Nelson
, New Zealand",,,,,,,,,,,,
536,956033,9429037605247,20 Apr 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco956033,956033,,"15 Clifton Road, Browns Bay, Auckland
, New Zealand","15 Clifton Road, Browns Bay, Auckland
, New Zealand",,,,,,,,,,,,
537,1227419,9429036400669,25 Jul 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1227419,1227419,,"12a Mountain View Rd, Palmerston North
, New Zealand","12a Mountain View Rd, Palmerston North
, New Zealand",,,,,,,,,,,,
538,976908,9429037494599,03 Sep 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco976908,976908,,"39 Californnia Drive, Totara Park, Upper Hutt
, New Zealand","39 California Drive, Totara Park, Upper Hutt
, New Zealand",,,,,,,,,,,,
539,1825888,9429034074091,06 Jun 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1825888,1825888,,"47 Normanton St, Glenfield, Auckland
, New Zealand","47 Normanton St, Glenfield, Auckland
, New Zealand",,,,,,,,,,,,
540,972137,9429037519766,09 Aug 1999,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco972137,972137,,"10 Balmacewen Road, Maori Hill, Dunedin, 9010
, New Zealand","10 Balmacewen Road, Maori Hill, Dunedin, 9010
, New Zealand",,,,,,,,,,,,
541,2163631,9429032605389,14 Aug 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2163631,2163631,,"18 Marama Avenue, Surfdale, Waiheke Island
, New Zealand","18 Marama Avenue, Surfdale, Waiheke Island
, New Zealand",,,,,,,,,,,,
542,1061553,9429037157586,23 Aug 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1061553,1061553,,"9 Morris Street, Concord, Dunedin
, New Zealand","9 Morris Street, Concord, Dunedin
, New Zealand",,,,,,,,,,,,
543,865417,9429038047954,10 Jul 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco865417,865417,,"C/- Hercus King, 21-29 Broderick Road, Johnsonville
, New Zealand","C/- Hercus King, 21-29 Broderick Road, Johnsonville
, New Zealand",,,,,,,,,,,,
544,141205,9429040338651,09 Jul 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco141205,141205,,"C/o B F Adair, 211 High St, Rangiora
, New Zealand","-
, New Zealand",,,,,,,,,,,,
545,5445124,9429041394557,03 Sep 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5445124,5445124,,"12 Fox Street, Ngaio, Wellington, 6035
, New Zealand","12 Fox Street, Ngaio, Wellington, 6035
, New Zealand",,,,,,,,,,,,
546,643036,9429038629983,28 Jul 1994,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco643036,643036,,"Chartered Accounting Limited, 101 Station Road, Penrose, Auckland
, New Zealand","Chartered Accounting Limited, 1st Floor, 101 Station Road, Penrose
, New Zealand",,,,,,,,,,,,
547,975170,9429037502829,18 Aug 1999,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco975170,975170,,"Giles & Associates Chartered Accountants Limited, 34 Rosemont Road, Waihi, Waihi, 3610
, New Zealand","55 Kingseat Road, Patumahoe, Pukekohe, 2679
, New Zealand",,,,,,,,,,,,
548,1161246,9429036776078,19 Sep 2001,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1161246,1161246,,"30 Sir William Pickering Drive, Burnside, Christchurch, 8053
, New Zealand","BDO Christchurch Limited, 30 Sir William Pickering Drive, Burnside, Christchurch, 8053
, New Zealand",,,,,,,,,,,,
549,2158312,9429032630459,29 Jul 2008,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2158312,2158312,,"C/-gilligan Rowe & Associates Limited, Level 6, 135 Broadway, Newmarket, Auckland 1149
, New Zealand","C/-gilligan Rowe & Associates Limited, Level 6, 135 Broadway, Newmarket, Auckland 1149
, New Zealand",,,,,,,,,,,,
550,188105,9429040112640,19 Aug 1966,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco188105,188105,,"Graham Brown & Co Ltd, Chartered Accountants, 45-49 Tirau Street, Putaruru
, New Zealand","Graham Brown & Co Ltd, Chartered Accountants, 45-49 Tirau Street, Putaruru
, New Zealand",,,,,,,,,,,,
551,1224967,9429036413812,15 Jul 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1224967,1224967,,"42 Tennis Court Road, Raumati, Kapiti Coast
, New Zealand","42 Tennis Court Road, Raumati, Kapiti Coast
, New Zealand",,,,,,,,,,,,
552,125869,9429031957328,09 Jul 1959,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco125869,125869,,"Miller Gale & Winter, Level1, 4 Hazledean Road, Addington, Christchurch, 8024
, New Zealand","Miller Gale & Winter, Level1, 4 Hazledean Road, Addington, Christchurch, 8024
, New Zealand",,,,,,,,,,,,
553,5631190,9429041651544,16 Mar 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5631190,5631190,,"111a Yaldhurst Road, Sockburn, Christchurch, 8042
, New Zealand","111a Yaldhurst Road, Sockburn, Christchurch, 8042
, New Zealand",,,,,,,,,,,,
554,1750185,9429034373644,19 Dec 2005,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1750185,1750185,,"17 Simeon Street, Spreydon, Christchurch, 8024
, New Zealand","17 Simeon Street, Spreydon, Christchurch, 8024
, New Zealand",,,,,,,,,,,,
555,1943494,9429033389516,16 May 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1943494,1943494,,"14 Okareka Place, Pakuranga
, New Zealand","127 Stoddard Road, Mt Roskill, Auckland
, New Zealand",,,,,,,,,,,,
556,2471213,9429031557184,04 May 2010,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2471213,2471213,,"10 Grandview Crescent, Opoho, Dunedin, 9010
, New Zealand","10 Grandview Crescent, Opoho, Dunedin, 9010
, New Zealand",,,,,,,,,,,,
557,1762966,9429034325957,30 Jan 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1762966,1762966,,"C/-Insolvency Management Limited, 8b Homersham Place, Burnside, Christchurch, 8053
, New Zealand","C/-Insolvency Management Limited, 8b Homersham Place, Burnside, Christchurch, 8053
, New Zealand",,,,,,,,,,,,
558,1978265,9429033176109,28 Aug 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1978265,1978265,,"PricewaterhouseCoopers, Level 16, 113-119 The Terrace, Wellington, Wellington, 6011
, New Zealand","PricewaterhouseCoopers, Level 16, 113-119 The Terrace, Wellington, Wellington, 6011
, New Zealand",,,,,,,,,,,,
559,1281258,9429036096022,13 Mar 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1281258,1281258,,"C/o Chapmans Chartered Accountants Ltd, Level 1, Market Precinct, Westgate, Centre, Westgate Dr, Waitakere City
, New Zealand","C/o Chapmans Chartered Accountants Ltd, Level 1, Market Precinct, Westgate, Centre, Westgate Dr, Waitakere City
, New Zealand",,,,,,,,,,,,
560,1858510,9429033906393,25 Aug 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1858510,1858510,,"Darryl Pinny Chartered Accountant, Level 1 Nzi Building, 411-412 Main Street, Palmerston North
, New Zealand","Darryl Pinny Chartered Accountant, Level 1 Nzi Building, 411-412 Main Street, Palmerston North
, New Zealand",,,,,,,,,,,,
561,628560,9429038692352,31 Aug 1994,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco628560,628560,,"96 Guildford Drive, Paraparaumu Beach, Paraparaumu, 5032
, New Zealand","BDO Wellington Limited, 96 Guildford Drive, Paraparaumu Beach, Paraparaumu, 5032
, New Zealand",,,,,,,,,,,,
562,96766,9429040468556,04 Dec 1975,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco96766,96766,,"249 Wicksteed St, Wanganui
, New Zealand",,,,,,,,,,,,,
563,2229071,9429032305951,09 Apr 2009,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2229071,2229071,,"Mcculloch + Partners, Chartered Accountants, Level 1, 20 Don Street, Invercargill, 9810
, New Zealand","Mcculloch + Partners, Chartered Accountants, Level 1, 20 Don Street, Invercargill, 9810
, New Zealand",,,,,,,,,,,,
564,7082694,9429047084681,18 Oct 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7082694,7082694,,"B Heslip, 5 Upland Road, Hoon Hay, Christchurch, 8025
, New Zealand","B Heslip, 5 Upland Road, Hoon Hay, Christchurch, 8025
, New Zealand",,,,,,,,,,,,
565,181587,9429040135601,24 Jun 1958,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco181587,181587,,"Creightons Rd, R D 3 Clevedon
, New Zealand",,,,,,,,,,,,,
566,1251381,9429036263646,13 Nov 2002,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1251381,1251381,,"24 Tiber St, Island Bay, Wellington
, New Zealand","24 Tiber St, Island Bay, Wellington
, New Zealand",,,,,,,,,,,,
567,1202751,9429036540945,03 May 2002,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1202751,1202751,,"31 Reservoir Road, Waihi, 3610
, New Zealand","31 Reservoir Road, Waihi, 3610
, New Zealand",,,,,,,,,,,,
568,171642,9429040170251,26 Feb 1970,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco171642,171642,,"78 Miranda Street, Stratford, (arthur Young)
, New Zealand","-
, New Zealand",,,,,,,,,,,,
569,1902218,9429033650302,22 Jan 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1902218,1902218,,"Lowthers Ltd, Level 10, The Dorchester Building, 34 Shortland Street, Auckland
, New Zealand","C/-lowthers Ltd, Level 10, The Dorchester Building, 34 Shortland Street, Auckland
, New Zealand",,,,,,,,,,,,
570,176278,9429040147451,19 Dec 1950,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco176278,176278,,"197 Whitaker St, Te Aroha
, New Zealand",,,,,,,,,,,,,
571,57095,9429040700472,17 Jun 1958,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco57095,57095,,"C/o M/s Green & Batenburg 11 Anzac St, Takapuna
, New Zealand",,,,,,,,,,,,,
572,200047,9429040032061,15 Jul 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco200047,200047,,"C/o Murray Crossman & Partners, Marac House, 132 First Avenue, Tauranga
, New Zealand","-
, New Zealand",,,,,,,,,,,,
573,858643,9429038080883,29 May 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco858643,858643,,"Walker Lee & Dick, Chartered Accountants, 24 Veronica Street, New Lynn
, New Zealand","Walker Lee & Dick, Chartered Accountants, 24 Veronica Street, New Lynn
, New Zealand",,,,,,,,,,,,
574,1136450,9429036911226,21 Jun 2001,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1136450,1136450,,"176a Pigeon Mountain Road, Half Moon Bay, Manukau City, 2012, Auckland
, New Zealand","176a Pigeon Mountain Road, Half Moon Bay, Manukau City, 2012, Auckland
, New Zealand",,,,,,,,,,,,
575,514551,9429039085214,01 Aug 1991,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco514551,514551,,"Unit 1/18 Moorefield Road, Johnsonville
, New Zealand",,,,,,,,,,,,,
576,101417,9429040430454,15 Aug 1977,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco101417,101417,,"119 Aurora Avenue, Snells Beach, Warkworth
, New Zealand",,,,,,,,,,,,,
577,56388,9429040702308,03 Feb 1958,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco56388,56388,,"Williams Road, Paihia
, New Zealand",,,,,,,,,,,,,
578,1572819,9429035099093,03 Nov 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1572819,1572819,,"12 Turnbull Street, Pareora, Pareora, 7912
, New Zealand","12 Turnbull Street, Pareora, Pareora, 7912
, New Zealand",,,,,,,,,,,,
579,1175890,9429036696369,26 Nov 2001,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1175890,1175890,,"Robin Whalley Associates, 285 Hardy Street, Nelson, Nelson, 7010
, New Zealand","Robin Whalley Associates, 285 Hardy Street, Nelson, Nelson, 7010
, New Zealand",,,,,,,,,,,,
580,1561498,9429035158028,30 Sep 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1561498,1561498,,"61 Edinburgh Street, Pukekohe
, New Zealand","61 Edinburgh Street, Pukekohe
, New Zealand",,,,,,,,,,,,
581,2097477,9429032895254,25 Feb 2008,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2097477,2097477,,"Duns Limited, Level 1, 100 Moorhouse Avenue, Addington, Christhchurch, 8011
, New Zealand","Duns Limited, Level 1, 100 Moorhouse Avenue, Addington, Christhchurch, 8011
, New Zealand",,,,,,,,,,,,
582,939880,9429037692018,23 Dec 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco939880,939880,,"Second Floor, Realty House, 60 Durham Street, Tauranga
, New Zealand","Second Floor, Realty House, 60 Durham Street, Tauranga
, New Zealand",,,,,,,,,,,,
583,1031525,9429037279684,18 Apr 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1031525,1031525,,"64 Aorangi Road, Christchurch
, New Zealand","64 Aorangi Road, Christchurch
, New Zealand",,,,,,,,,,,,
584,17896,9429040909462,03 Sep 1965,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco17896,17896,,"Co Louis & Ramm, 91 Main Rd, Tawa
, New Zealand",,,,,,,,,,,,,
585,986490,9429037448318,29 Oct 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco986490,986490,,"93 Church Street, Onehunga, Auckland
, New Zealand","93 Church Street, Onehunga, Auckland
, New Zealand",,,,,,,,,,,,
586,5159123,9429041203309,22 Apr 2014,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5159123,5159123,,"123 Glendale Road, Glen Eden, Auckland, 0602
, New Zealand","123 Glendale Road, Glen Eden, Auckland, 0602
, New Zealand",,,,,,,,,,,,
587,2235192,9429032284089,04 May 2009,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2235192,2235192,,"Ingham Mora Limited, Second Floor, 60 Durham Street, Tauranga, 3110
, New Zealand","Ingham Mora Limited, Second Floor, 60 Durham Street, Tauranga, 3110
, New Zealand",,,,,,,,,,,,
588,2094435,9429032911121,11 Mar 2008,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2094435,2094435,,"C/-flintoffs, 85 Gala Street, Invercargill
, New Zealand","C/-flintoffs, 85 Gala Street, Invercargill
, New Zealand",,,,,,,,,,,,
589,157107,9429040253190,20 Dec 1972,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco157107,157107,,"21 The Crescent, Invercargill
, New Zealand","21 The Crescent, Invercargill
, New Zealand",,,,,,,,,,,,
590,1382012,9429035805953,01 Sep 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1382012,1382012,,"10/171 Tamaki Drive, Kohimarama, Auckland
, New Zealand","10/171 Tamaki Drive, Kohimarama, Auckland
, New Zealand",,,,,,,,,,,,
591,906822,9429037851521,12 May 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco906822,906822,,"B D O Taranaki Limited, 10 Young Street, New Plymouth, 4310
, New Zealand","B D O Taranaki Limited, 10 Young Street, New Plymouth, 4310
, New Zealand",,,,,,,,,,,,
592,653671,9429038582219,06 Jul 1995,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco653671,653671,,"The Offices Of Coopers & Lybrand, Level 13 Udctower, 113-119 The Terrace, Wellington
, New Zealand","36 Chaffers Street, Wellington
, New Zealand",,,,,,,,,,,,
593,1717512,9429034464090,28 Oct 2005,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1717512,1717512,,"70 Wairakei Road, Bryndwr, Christchurch, 8052
, New Zealand","70 Wairakei Road, Bryndwr, Christchurch, 8052
, New Zealand",,,,,,,,,,,,
594,2146959,9429032677010,07 Jul 2008,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2146959,2146959,,"Southern Business Centre, 55 Wordsworth Street, Sydenham
, New Zealand","Southern Business Centre, 55 Wordsworth Street, Sydenham
, New Zealand",,,,,,,,,,,,
595,911355,9429037827939,16 Jun 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco911355,911355,,"97 Roscommon Road, Wiri, Manukau City, Auckland
, New Zealand","97 Roscommon Road, Wiri, Manukau City, Auckland
, New Zealand",,,,,,,,,,,,
596,1856622,9429033919027,21 Aug 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1856622,1856622,,"C/-spire Chartered Accountants Ltd, Level 1, 35 Robert Street, Whangarei
, New Zealand","C/-spire Chartered Accountants Ltd, Level 1, 35 Robert Street, Whangarei
, New Zealand",,,,,,,,,,,,
597,174345,9429040151564,21 Jan 1935,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco174345,174345,,"11 Th Floor, Southpac Tower, 45 Queen Street, Auckland
, New Zealand",,,,,,,,,,,,,
598,674137,9429038489884,12 Apr 1995,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco674137,674137,,"J C R Barraclough, 240 Tristram Street, Hamilton
, New Zealand","J C R Barraclough, 240 Tristram Street, Hamilton
, New Zealand",,,,,,,,,,,,
599,2052585,9429033044200,08 Nov 2007,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2052585,2052585,,"Watershed Chartered Accountants Ltd, Level 1 Caro House, 137 Alexandra Street, Hamilton, 3204
, New Zealand","Watershed Chartered Accountants Ltd, Level 1 Caro House, 137 Alexandra Street, Hamilton, 3204
, New Zealand",,,,,,,,,,,,
600,963681,9429037565060,10 Jun 1999,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco963681,963681,,"743 Rosebank Road, Avondale, Auckland
, New Zealand","743 Rosebank Road, Avondale, Auckland
, New Zealand",,,,,,,,,,,,
601,3568,9429040967622,23 Mar 1938,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco3568,3568,,"41 Drews Avenue, Wanganui
, New Zealand",,,,,,,,,,,,,
602,1481502,9429035547419,01 Mar 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1481502,1481502,,"C/-park View Motor Lodge, 450 Tristram Street, Hamilton 3200
, New Zealand","C/-park View Motor Lodge, 450 Tristram Street, Hamilton 3200
, New Zealand",,,,,,,,,,,,
603,6384549,9429046307910,22 Aug 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6384549,6384549,,"Soon Lim, 124 Chivalry Road, Glenfield, Auckland, 0629
, New Zealand","Soon Lim, 124 Chivalry Road, Glenfield, Auckland, 0629
, New Zealand",,,,,,,March,,,,,
604,66923,9429040660899,30 Jul 1964,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco66923,66923,,"Waiuku & Glenbrook Rds, No 1 R D Waiuku
, New Zealand",,,,,,,,,,,,,
605,1867731,9429033858029,10 Oct 2006,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1867731,1867731,,"4 Hadrians Way, Nawton, Hamilton, 3200
, New Zealand","4 Hadrians Way, Nawton, Hamilton, 3200
, New Zealand",,,,,,,,,,,,
606,173481,9429040156606,03 Mar 1982,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco173481,173481,,"74 Devon Street East, New Plymouth
, New Zealand",,,,,,,,,,,,,
607,503516,9429039119742,09 Apr 1991,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco503516,503516,,"Polson Higgs, Level 6 Clarendon Tower, Cnr Worcester St & Oxford Tce, Christchurch
, New Zealand","Polson Higgs, Level 6 Clarendon Tower, Cnr Worcester St & Oxford Tce, Christchurch
, New Zealand",,,,,,,,,,,,
608,659315,9429038556395,06 Dec 1994,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco659315,659315,,"Cl- John Woolley Associates Ltd, Level, 20 Herekino Street, Whangarei, 0140
, New Zealand","Cl- John Woolley Associates Ltd, Level, 20 Herekino Street, Whangarei, 0140
, New Zealand",,,,,,,,,,,,
609,9345,9429040947730,14 Jul 1955,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco9345,9345,,"3rd Floor Borthwick House, 85 The Terrace, Wellington
, New Zealand",,,,,,,,,,,,,
610,1278904,9429036110223,24 Apr 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1278904,1278904,,"74 A Hammond Street, Welcome Bay, Tauranga
, New Zealand","74 A Hammond Street, Welcome Bay, Tauranga
, New Zealand",,,,,,,,,,,,
611,1642940,9429034723814,03 Jun 2005,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1642940,1642940,,"Brown Webb Richardson Ltd, 111 Avenue Road East, Hastings
, New Zealand","Brown Webb Richardson Ltd, 111 Avenue Road East, Hastings
, New Zealand",,,,,,,,,,,,
612,894401,9429037911638,19 Feb 1998,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco894401,894401,,"63 Hatherlow Street, Glenfield
, New Zealand","63 Hatherlow Street, Glenfield
, New Zealand",,,,,,,,,,,,
